state,county,county_fips,year,analyte_name,time_period,quarter,average_concentration,maximum_concentration,sdwa_limit,units,pws_id_number,pws_name,pws_primary_source_code,pws_population_served,pws_latitude,pws_longitude,over_limit_by
Colorado,El Paso,08041,2009,TTHM (total trihalomethanes),Year,0,48.2,91,80,ug/L,CO0121275,FOUNTAIN CITY OF,SWP,20000,39.06,-104.4,+11 ug/L
Colorado,El Paso,08041,2009,TTHM (total trihalomethanes),Quarter,1,52,91,80,ug/L,CO0121275,FOUNTAIN CITY OF,SWP,20000,39.06,-104.4,+11 ug/L
Colorado,Larimer,08069,2009,TTHM (total trihalomethanes),Year,0,95.2,110.4,80,ug/L,CO0135538,NEWELL WARNOCK WA,SW,130,40.55,-105.53,+30.4 ug/L
Colorado,Larimer,08069,2009,TTHM (total trihalomethanes),Quarter,2,99.8,99.8,80,ug/L,CO0135538,NEWELL WARNOCK WA,SW,130,40.55,-105.53,+19.8 ug/L
Colorado,Larimer,08069,2009,TTHM (total trihalomethanes),Quarter,3,110.4,110.4,80,ug/L,CO0135538,NEWELL WARNOCK WA,SW,130,40.55,-105.53,+30.4 ug/L
Colorado,Larimer,08069,2009,TTHM (total trihalomethanes),Quarter,4,104.6,104.6,80,ug/L,CO0135538,NEWELL WARNOCK WA,SW,130,40.55,-105.53,+24.6 ug/L
Colorado,Larimer,08069,2009,TTHM (total trihalomethanes),Year,0,67,80.8,80,ug/L,CO0135685,RMNP HEADQUARTERS EAST,GW,250,40.34,-105.59,+0.8 ug/L
Colorado,Larimer,08069,2009,TTHM (total trihalomethanes),Quarter,3,80.8,80.8,80,ug/L,CO0135685,RMNP HEADQUARTERS EAST,GW,250,40.34,-105.59,+0.8 ug/L
Colorado,Ouray,08091,2009,TTHM (total trihalomethanes),Year,0,65,97.7,80,ug/L,CO0146485,DALLAS CREEK WC,GU,304,38.17,-107.8,+17.7 ug/L
Colorado,Ouray,08091,2009,TTHM (total trihalomethanes),Quarter,3,97.7,97.7,80,ug/L,CO0146485,DALLAS CREEK WC,GU,304,38.17,-107.8,+17.7 ug/L
Colorado,Jefferson,08059,1999,TTHM (total trihalomethanes),Year,0,55.4,83.7,80,ug/L,CO0130040,GOLDEN CITY OF,SW,27274,39.68,-105.28,+3.7 ug/L
Colorado,Jefferson,08059,1999,TTHM (total trihalomethanes),Quarter,3,83.7,83.7,80,ug/L,CO0130040,GOLDEN CITY OF,SW,27274,39.68,-105.28,+3.7 ug/L
Colorado,Mesa,08077,1999,TTHM (total trihalomethanes),Year,0,61.6,91.8,80,ug/L,CO0139791,UTE WCD,SW,70632,39.14,-108.31,+11.8 ug/L
Colorado,Mesa,08077,1999,TTHM (total trihalomethanes),Quarter,3,91.8,91.8,80,ug/L,CO0139791,UTE WCD,SW,70632,39.14,-108.31,+11.8 ug/L
Colorado,Pueblo,08101,2009,TTHM (total trihalomethanes),Year,0,51.9,84,80,ug/L,CO0151200,COLORADO CITY MD,SW,1811,37.9,-104.87,+4 ug/L
Colorado,Pueblo,08101,2009,TTHM (total trihalomethanes),Quarter,4,82.8,84,80,ug/L,CO0151200,COLORADO CITY MD,SW,1811,37.9,-104.87,+4 ug/L
Colorado,Rio Blanco,08103,2009,TTHM (total trihalomethanes),Year,0,63.3,97.5,80,ug/L,CO0152666,RANGELY TOWN OF,SW,2000,40.09,-108.76,+17.5 ug/L
Colorado,Rio Blanco,08103,2009,TTHM (total trihalomethanes),Quarter,4,97.5,97.5,80,ug/L,CO0152666,RANGELY TOWN OF,SW,2000,40.09,-108.76,+17.5 ug/L
Colorado,Routt,08107,2009,TTHM (total trihalomethanes),Year,0,48.9,90,80,ug/L,CO0154524,MT WERNER WD,SW,4980,40.22,-106.8,+10 ug/L
Colorado,Routt,08107,2009,TTHM (total trihalomethanes),Quarter,3,81.6,90,80,ug/L,CO0154524,MT WERNER WD,SW,4980,40.22,-106.8,+10 ug/L
Colorado,Routt,08107,2009,TTHM (total trihalomethanes),Year,0,57.8,80.4,80,ug/L,CO0154566,OAK CREEK TOWN OF,SW,850,40.57,-107.03,+0.4 ug/L
Colorado,Routt,08107,2009,TTHM (total trihalomethanes),Quarter,3,80.4,80.4,80,ug/L,CO0154566,OAK CREEK TOWN OF,SW,850,40.57,-107.03,+0.4 ug/L
Colorado,Routt,08107,2009,TTHM (total trihalomethanes),Year,0,70.9,128.1,80,ug/L,CO0154743,TIMBERS WSD,SW,41,40.37,-106.8,+48.1 ug/L
Colorado,Routt,08107,2009,TTHM (total trihalomethanes),Quarter,2,128.1,128.1,80,ug/L,CO0154743,TIMBERS WSD,SW,41,40.37,-106.8,+48.1 ug/L
Colorado,Routt,08107,2009,TTHM (total trihalomethanes),Quarter,4,93.9,93.9,80,ug/L,CO0154743,TIMBERS WSD,SW,41,40.37,-106.8,+13.9 ug/L
Colorado,San Miguel,08113,2009,TTHM (total trihalomethanes),Year,0,100.1,184.8,80,ug/L,CO0157500,NORWOOD WATER COMMISSION,SW,1700,37.97,-108.34,+104.8 ug/L
Colorado,San Miguel,08113,2009,TTHM (total trihalomethanes),Quarter,1,74.2,80.9,80,ug/L,CO0157500,NORWOOD WATER COMMISSION,SW,1700,37.97,-108.34,+0.9 ug/L
Colorado,San Miguel,08113,2009,TTHM (total trihalomethanes),Quarter,2,89,94.1,80,ug/L,CO0157500,NORWOOD WATER COMMISSION,SW,1700,37.97,-108.34,+14.1 ug/L
Colorado,San Miguel,08113,2009,TTHM (total trihalomethanes),Quarter,3,182.6,184.8,80,ug/L,CO0157500,NORWOOD WATER COMMISSION,SW,1700,37.97,-108.34,+104.8 ug/L
Colorado,San Miguel,08113,2009,TTHM (total trihalomethanes),Quarter,4,80.7,89.3,80,ug/L,CO0157500,NORWOOD WATER COMMISSION,SW,1700,37.97,-108.34,+9.3 ug/L
