state,county,county_fips,year,analyte_name,time_period,quarter,average_concentration,maximum_concentration,sdwa_limit,units,pws_id_number,pws_name,pws_primary_source_code,pws_population_served,pws_latitude,pws_longitude
Colorado,Douglas,08035,2006,TTHM (total trihalomethanes),Quarter,2,29.7,45.1,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2006,TTHM (total trihalomethanes),Quarter,3,31.7,49.6,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2006,TTHM (total trihalomethanes),Quarter,4,34.1,44.6,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2007,TTHM (total trihalomethanes),Year,0,38.4,56.5,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2007,TTHM (total trihalomethanes),Quarter,1,29.8,36.8,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2007,TTHM (total trihalomethanes),Quarter,2,32.1,38.8,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2007,TTHM (total trihalomethanes),Quarter,3,45.2,56.5,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2007,TTHM (total trihalomethanes),Quarter,4,46.6,51.4,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2008,TTHM (total trihalomethanes),Year,0,33.4,44.3,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2008,TTHM (total trihalomethanes),Quarter,1,27.3,36,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2008,TTHM (total trihalomethanes),Quarter,2,38.5,44.3,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2008,TTHM (total trihalomethanes),Quarter,3,26,37.5,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
Colorado,Douglas,08035,2008,TTHM (total trihalomethanes),Quarter,4,36.7,38.5,80,ug/L,CO0118015,CENTENNIAL WSD,SW,88042,39.52,-104.94
